id,content_id,campaign_id,device_impression_cap,tier,created_at,updated_at,content_type,prominent_content_ad_unit_device_impression_cap,impression_cap,pace,paused,ml_tier,deleted,device_impression_duration,enable_guardrail,note,similarity_threshold
48888,100032075,300,10,0,2025-01-01T15:24:01.813082Z,2025-01-01T15:33:20.93874Z,1,2,null,true,null,null,null,null,null,null,null
48889,100029919,300,10,0,2025-01-01T15:34:03.142503Z,2025-01-01T15:41:10.307557Z,1,2,null,true,null,null,null,null,null,null,null
48890,100010622,300,10,0,2025-01-01T15:38:06.152296Z,2025-01-03T19:50:33.293337Z,1,2,null,true,null,null,null,null,null,null,null
48891,100016944,300,10,0,2025-01-01T15:41:40.185334Z,2025-01-01T15:48:10.603418Z,1,2,null,true,null,null,null,null,null,null,null
48892,100013789,301,null,0,2025-01-01T15:50:47.419099Z,2025-01-01T15:50:47.419099Z,1,null,null,null,null,null,true,null,null,null,null
48893,100013789,301,null,0,2025-01-01T15:51:05.785365Z,2025-01-01T15:51:05.785365Z,1,null,null,null,null,null,true,null,null,null,null
48894,100032108,301,10,0,2025-01-01T15:55:19.935277Z,2025-01-01T15:57:28.130748Z,1,2,null,true,null,null,null,null,null,null,null
48895,100032109,301,10,0,2025-01-01T15:57:49.877164Z,2025-01-01T15:58:42.113154Z,1,2,null,true,null,null,null,null,null,null,null
48896,100032457,301,10,0,2025-01-01T16:00:32.484757Z,2025-01-01T16:02:59.100635Z,1,2,null,true,null,null,null,null,null,null,null
48897,100029342,301,null,0,2025-01-01T16:05:58.394029Z,2025-01-01T16:05:58.394029Z,1,null,null,null,null,null,null,null,null,null,null
48898,100032104,301,10,0,2025-01-01T16:08:08.971593Z,2025-01-01T16:09:47.555243Z,1,2,null,true,null,null,null,null,null,null,null
48899,504471,301,10,0,2025-01-01T16:10:09.179962Z,2025-01-01T16:12:31.124059Z,1,2,null,true,null,null,null,null,null,null,null
48900,504471,302,10,0,2025-01-01T16:13:57.162118Z,2025-01-01T16:16:25.975901Z,1,2,null,true,null,null,null,null,null,null,null
48901,647034,302,10,0,2025-01-01T16:16:45.209038Z,2025-01-01T16:18:36.779505Z,1,2,null,true,null,null,null,null,null,null,null
48902,589037,302,10,0,2025-01-01T16:21:14.108449Z,2025-01-01T16:23:09.710414Z,1,2,null,true,null,null,null,null,null,null,null
48914,400000112,303,10,0,2025-01-02T15:54:37.885059Z,2025-01-06T10:29:28.88813Z,3,2,50000000,false,null,null,null,null,null,null,null
48915,400000112,303,null,0,2025-01-02T15:54:40.045887Z,2025-01-02T15:54:40.045887Z,3,null,null,null,null,null,true,null,null,null,null
48920,100024987,304,10,0,2025-01-03T17:35:02.188108Z,2025-01-04T02:28:04.769417Z,1,2,null,true,null,null,null,null,null,null,null
48921,400000061,305,10,0,2025-01-03T17:39:50.695018Z,2025-01-03T17:48:52.686159Z,3,2,null,false,null,null,null,null,null,null,null
48922,400000061,305,10,0,2025-01-03T17:49:04.009544Z,2025-01-03T17:52:12.504535Z,3,2,null,false,null,null,null,null,null,null,null
48923,613761,305,10,0,2025-01-03T17:53:08.206308Z,2025-01-03T17:54:25.378758Z,3,2,null,false,null,null,null,null,null,null,null
48924,400000082,305,null,0,2025-01-03T17:59:46.466726Z,2025-01-03T17:59:46.466726Z,3,null,null,null,null,null,true,null,null,null,null
48925,692073,305,10,0,2025-01-03T18:01:19.907322Z,2025-01-03T18:02:46.119167Z,3,2,null,false,null,null,null,null,null,null,null
48926,300013864,306,null,0,2025-01-03T19:52:11.273884Z,2025-01-03T19:52:11.273884Z,2,null,null,null,null,null,null,null,null,null,null
48927,100032830,305,10,0,2025-01-03T20:48:22.647321Z,2025-01-03T21:04:25.99547Z,1,2,null,true,null,null,null,null,null,null,null
48928,100032830,305,10,0,2025-01-03T20:50:47.321622Z,2025-01-03T21:05:51.200123Z,1,2,null,true,null,null,null,null,null,null,null
48955,618762,307,10,0,2025-01-04T05:33:23.760224Z,2025-01-04T05:36:38.070834Z,3,2,null,false,null,null,null,null,null,null,null
48956,555127,307,10,0,2025-01-04T05:37:13.422717Z,2025-01-04T05:40:23.723816Z,3,2,null,false,null,null,null,null,null,null,null
48977,400000061,309,null,0,2025-01-07T01:52:47.127464Z,2025-01-07T01:52:47.127464Z,3,null,null,null,null,null,true,null,null,null,null
48984,400000061,314,10,0,2025-01-07T02:46:05.823752Z,2025-01-07T02:47:16.32327Z,3,2,null,true,null,null,null,null,null,null,null
48985,692073,314,10,0,2025-01-07T02:48:06.349853Z,2025-01-07T02:49:14.798216Z,3,2,null,true,null,null,null,null,null,null,null
48986,400000061,314,10,0,2025-01-07T02:49:46.65764Z,2025-01-07T02:51:12.11222Z,3,2,null,true,null,null,null,null,null,null,null
48987,400000111,315,10,0,2025-01-07T11:03:20.424594Z,2025-01-07T11:04:17.920302Z,3,2,null,false,null,null,null,null,null,null,null
48988,100032830,316,10,0,2025-01-07T22:17:13.693272Z,2025-01-07T22:18:41.777342Z,1,2,null,true,null,null,null,null,null,null,null
48990,300013864,317,null,0,2025-01-08T20:43:45.722449Z,2025-01-08T20:43:45.722449Z,2,null,null,null,null,null,null,null,null,null,null
48991,555127,319,null,0,2025-01-08T23:41:20.436896Z,2025-01-08T23:41:20.436896Z,3,null,null,null,null,null,null,null,null,null,null
48992,555127,321,10,0,2025-01-08T23:45:17.992059Z,2025-01-08T23:46:22.091576Z,3,2,null,true,null,null,null,null,null,null,null
48993,618762,321,null,0,2025-01-08T23:49:12.748709Z,2025-01-08T23:49:12.748709Z,3,null,null,null,null,null,true,null,null,null,null
48994,618762,321,10,0,2025-01-09T00:17:42.516429Z,2025-01-09T00:30:41.002863Z,3,2,null,true,null,null,null,null,null,null,null
48995,556174,321,10,0,2025-01-09T00:21:16.014155Z,2025-01-09T00:29:11.775569Z,3,2,null,true,null,null,null,null,null,null,null
48999,400000112,322,10,0,2025-01-09T10:42:04.420697Z,2025-01-09T10:44:23.834408Z,3,2,null,false,false,null,null,null,null,null,null
49000,400000112,323,null,0,2025-01-09T10:44:44.764392Z,2025-01-09T10:44:44.764392Z,3,null,null,null,null,null,true,null,null,null,null
49001,400000111,324,10,0,2025-01-09T10:46:48.293195Z,2025-01-09T10:47:31.915449Z,3,2,null,false,null,null,null,null,null,null,null
49002,400000122,325,10,0,2025-01-09T13:46:01.089888Z,2025-01-09T13:47:32.312769Z,3,2,null,false,null,null,null,null,null,null,null
49003,400000122,325,10,0,2025-01-09T13:47:46.626078Z,2025-01-09T13:49:50.261929Z,3,2,null,false,null,null,null,null,null,null,null
49006,100011586,326,10,0,2025-01-10T03:10:39.71013Z,2025-01-10T03:15:19.822268Z,1,2,null,true,null,null,null,null,null,null,null
49007,100011586,327,null,0,2025-01-10T18:28:22.878897Z,2025-01-10T18:28:22.878897Z,1,null,null,null,null,null,null,null,null,null,null
49008,670475,327,null,0,2025-01-10T18:30:48.967512Z,2025-01-10T18:30:48.967512Z,1,null,null,null,null,null,null,null,null,null,null
49009,300013864,327,null,0,2025-01-10T18:32:43.575721Z,2025-01-10T18:32:43.575721Z,2,null,null,null,null,null,null,null,null,null,null
49010,100032830,318,null,0,2025-01-10T22:46:43.376659Z,2025-01-10T22:51:22.893155Z,1,2,5000000,true,null,null,null,null,null,null,null
49011,100032108,318,null,0,2025-01-10T22:54:31.458563Z,2025-01-10T22:57:48.063499Z,1,2,3000000,true,null,null,null,null,null,null,null
49012,100032109,318,null,0,2025-01-10T22:56:14.622315Z,2025-01-10T22:56:57.356529Z,1,2,3000000,true,null,null,null,null,null,null,null
49013,100032457,318,null,0,2025-01-10T22:58:42.32662Z,2025-01-10T23:00:19.968851Z,1,2,7000000,true,null,null,null,null,null,null,null
49014,100032075,318,null,0,2025-01-10T23:01:23.075866Z,2025-01-10T23:02:14.271342Z,1,2,3000000,true,null,null,null,null,null,null,null
49015,100016944,318,null,0,2025-01-10T23:02:36.393174Z,2025-01-10T23:04:02.508346Z,1,2,7000000,true,null,null,null,null,null,null,null
49016,100032076,318,null,1,2025-01-10T23:10:30.60959Z,2025-01-10T23:12:21.35457Z,1,2,7000000,true,null,null,null,null,null,null,null
49017,100011586,318,null,0,2025-01-10T23:17:41.33729Z,2025-01-10T23:32:08.806921Z,1,2,7000000,true,null,null,null,null,null,null,null
49018,100024987,318,null,2,2025-01-10T23:32:42.905295Z,2025-01-10T23:36:53.653627Z,1,2,3000000,true,null,null,null,null,null,null,null
49019,100028174,318,null,0,2025-01-10T23:37:30.329104Z,2025-01-10T23:43:44.082371Z,1,2,7000000,true,null,null,null,null,null,null,null
49020,100029919,318,null,0,2025-01-10T23:51:08.264232Z,2025-01-10T23:53:29.481013Z,1,2,3000000,true,null,null,null,null,null,null,null
49021,300006781,318,null,0,2025-01-10T23:54:46.235322Z,2025-01-11T00:04:35.740193Z,2,2,4000000,true,null,null,null,null,null,null,null
49022,300014418,318,null,0,2025-01-11T00:07:24.245331Z,2025-01-11T00:09:13.797631Z,2,2,7000000,true,null,null,null,null,null,null,null
49023,300002259,318,null,0,2025-01-11T00:10:45.090847Z,2025-01-11T00:12:44.273909Z,2,2,7000000,true,null,null,null,null,null,null,null
49024,589037,318,null,0,2025-01-11T00:17:43.540131Z,2025-01-11T00:19:11.050929Z,1,2,3000000,true,null,null,null,null,null,null,null
49025,100023901,318,null,2,2025-01-11T00:21:34.657829Z,2025-01-11T00:23:33.221022Z,1,2,5000000,true,null,null,null,null,null,null,null
49026,300014274,318,null,1,2025-01-11T00:26:51.58373Z,2025-01-11T00:28:25.585154Z,2,2,3000000,true,null,null,null,null,null,null,null
49027,300014556,318,null,0,2025-01-11T00:31:12.642237Z,2025-01-11T00:32:14.852093Z,2,2,3000000,true,null,null,null,null,null,null,null
49028,100024841,318,null,0,2025-01-11T00:44:03.570534Z,2025-01-11T00:45:11.440668Z,1,2,5000000,true,null,null,null,null,null,null,null
49029,100032921,318,null,0,2025-01-11T00:51:33.460753Z,2025-01-11T00:51:33.460753Z,1,null,null,null,null,null,true,null,null,null,null
49030,100032560,318,null,1,2025-01-11T00:51:54.628985Z,2025-01-11T00:52:44.451356Z,1,2,3000000,true,null,null,null,null,null,null,null
49032,100024841,328,10,0,2025-01-11T23:08:26.371983Z,2025-01-17T04:46:31.461768Z,1,2,null,true,null,null,null,null,null,null,null
49033,300002259,328,null,0,2025-01-11T23:11:26.574298Z,2025-01-11T23:14:09.311775Z,2,2,null,false,null,null,null,null,null,null,null
49034,100024841,328,10,0,2025-01-11T23:14:32.104652Z,2025-01-17T04:46:46.118193Z,1,2,null,true,false,null,null,null,null,null,null
49411,400000082,329,null,0,2025-01-14T02:54:06.084475Z,2025-01-14T02:54:06.084475Z,3,null,null,null,null,null,true,null,null,null,null
49412,692073,331,10,0,2025-01-14T02:55:05.025399Z,2025-01-14T02:57:47.173898Z,3,2,null,true,null,null,null,null,null,null,null
49413,400000061,331,null,0,2025-01-14T03:00:39.446816Z,2025-01-14T03:00:39.446816Z,3,null,null,null,null,null,true,null,null,null,null
49422,300002259,332,10,0,2025-01-15T03:11:55.75654Z,2025-01-15T03:16:05.20827Z,2,2,null,true,null,null,true,null,null,null,null
49423,100033186,332,10,0,2025-01-15T03:21:52.866209Z,2025-01-15T03:30:30.405173Z,1,2,null,true,null,null,null,null,null,null,null
49424,300014418,332,10,0,2025-01-15T03:34:01.150896Z,2025-01-15T03:43:27.863658Z,2,2,null,true,null,null,null,null,null,null,null
49425,300014418,332,10,0,2025-01-15T03:43:39.78733Z,2025-01-15T03:44:44.377623Z,2,2,null,true,null,null,null,null,null,null,null
49426,300014418,332,10,0,2025-01-15T03:45:16.482981Z,2025-01-15T03:45:55.024644Z,2,2,null,true,null,null,null,null,null,null,null
49427,46,332,10,0,2025-01-15T03:46:59.100236Z,2025-01-15T03:52:00.089324Z,2,2,null,true,null,null,true,null,null,null,null
49428,300014168,332,10,0,2025-01-15T04:00:05.793434Z,2025-01-15T04:00:47.596596Z,2,2,null,true,null,null,null,null,null,null,null
49429,100028174,332,10,0,2025-01-15T04:01:18.884324Z,2025-01-15T04:03:42.453617Z,1,2,null,true,null,null,null,null,null,null,null
49430,100001699,332,null,0,2025-01-15T04:04:33.835659Z,2025-01-15T04:04:33.835659Z,1,null,null,null,null,null,true,null,null,null,null
49431,300014568,332,10,0,2025-01-15T04:05:45.54234Z,2025-01-15T04:06:49.103998Z,2,2,null,true,null,null,null,null,null,null,null
49432,300014482,332,10,0,2025-01-15T04:08:57.876842Z,2025-01-15T04:09:59.645299Z,2,2,null,true,null,null,null,null,null,null,null
49433,400000061,334,null,0,2025-01-15T21:08:24.788322Z,2025-01-15T21:08:24.788322Z,3,null,null,null,null,null,null,null,null,null,null
49461,400000122,335,10,0,2025-01-16T13:11:50.208929Z,2025-01-20T21:49:36.434789Z,3,2,null,false,null,null,null,null,null,null,null
49462,400000122,335,10,0,2025-01-16T13:11:52.093269Z,2025-01-21T16:09:41.515545Z,3,2,null,false,null,null,null,null,null,null,null
49463,400000122,335,10,0,2025-01-16T13:19:02.486002Z,2025-01-21T16:09:49.537926Z,3,2,null,false,null,null,null,null,null,null,null
49464,400000122,335,10,0,2025-01-16T13:20:47.618036Z,2025-01-21T16:09:56.962711Z,3,2,null,false,null,null,null,null,null,null,null
49472,100022396,338,10,0,2025-01-17T04:14:45.013227Z,2025-01-17T04:54:03.914273Z,1,2,null,false,null,null,null,null,null,null,null
49473,100022396,338,10,0,2025-01-17T04:54:25.078769Z,2025-01-17T04:55:48.365424Z,1,2,null,true,null,null,null,null,null,null,null
49474,100032960,338,10,0,2025-01-17T04:56:17.965336Z,2025-01-17T04:58:38.481607Z,1,2,null,true,null,null,null,null,null,null,null
49475,400000061,339,10,0,2025-01-17T04:59:43.626983Z,2025-01-17T05:08:38.690596Z,3,2,null,false,null,null,null,null,null,null,null
49476,400000061,339,10,0,2025-01-17T05:05:45.843083Z,2025-01-17T05:07:09.665498Z,3,2,null,true,null,null,null,null,null,null,null
49477,100011586,340,10,0,2025-01-17T21:30:25.299075Z,2025-01-17T21:32:06.861085Z,1,2,null,true,null,null,null,null,null,null,null
49478,300002259,340,null,0,2025-01-17T21:32:27.691276Z,2025-01-17T21:32:27.691276Z,2,null,null,null,null,null,true,null,null,null,null
